date,site,test_dia_mm,test_hei_mm,wet_mass_g,volume_disp_ml,gonad_index
160725,Hopkins,42.2,17.5,27.89,20,20.97167444
160725,Hopkins,36.9,16.6,19.46,20,7.764645427
160725,Hopkins,38.8,16.5,24.19,20,14.02232327
160725,Hopkins,53,26.5,56.73,50,1956.6367
160725,Hopkins,36.8,20,25.75,20,17.83300971
160725,Hopkins,44,21.7,34.84,30,4.778989667
160725,Hopkins,30.05,14,14.33,10,20.6350314
160725,Hopkins,40,17.3,25.16,20,6.569952305
160725,Hopkins,43,22,31.77,30,13.503305
160725,Hopkins,36,17.5,20.49,15,4.138604197
160725,Hopkins,46.4,23.5,41.18,35,9.703739679
160725,Hopkins,36.5,18.5,19.1,20,6.078534031
