test_dia_mm
38
38
30
49
34
35
37
33
45
27
35
39
53
31.5
35
28
42
41
51
39
46
36
46
37
35
55
39
57
44
41
41
38
43
37
42
35
32
37
37
40
38
43
32
47
36
32
17
38
36
25
33
37
47
48
48
43
52.5
43
37.5
57.5
33
56.5
40
39
51
27
46
45
33
46
39
54
31
61
32
42.6
34.1
41.2
38
46.7
34.8
29.3
41.9
36.2
51.3
42.7
54.3
64.1
42.3
42.4
39.5
52
43.2
26.1
52.3
60.6
47.1
29.5
68.5
40.5
33.2
32.8
30
36.7
24
35.7
46.5
41.5
43.1
46.6
32.5
40
40.05
52.5
47
42.5
55.5
52.3
31.5
35
42.2
36.9
38.8
53
36.8
44
30.05
40
43
36
46.4
36.5
